,Position_Title,Department,Employee_Annual_Salary
142,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,66492.0
143,POLICE OFFICER,POLICE,80724.0
144,POLICE OFFICER,POLICE,78012.0
145,LIEUTENANT-EMT,FIRE,108132.0
146,ACCOUNTING TECHNICIAN I,FINANCE,52740.0
147,POLICE OFFICER,POLICE,78012.0
148,FOREMAN OF WINDOW WASHERS,AVIATION,46134.4
149,CONCRETE LABORER,TRANSPORTN,76960.0
150,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
151,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
152,LIEUTENANT,POLICE,119076.0
153,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,105024.0
154,POLICE OFFICER,POLICE,80724.0
155,SERGEANT,POLICE,109278.0
156,POLICE OFFICER,POLICE,71748.0
157,SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL,HEALTH,70380.0
158,POLICE OFFICER,POLICE,78012.0
159,DEPUTY COMMISSIONER,BUSINESS AFFAIRS,116688.0
160,LEGISLATIVE AIDE,CITY COUNCIL,18999.96
161,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
162,ACCOUNTANT IV,FINANCE,91224.0
163,ENVIRONMENTAL ENGINEER II,HEALTH,91224.0
164,CIVIL ENGINEER III,TRANSPORTN,91224.0
165,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,63456.0
166,MANAGER OF CERTIFICATION / COMPLIANCE,PROCUREMENT,85872.0
167,LAW CLERK,LAW,25152.4
168,POLICE COMMUNICATIONS OPERATOR I,OEMC,73032.0
169,POLICE OFFICER,POLICE,83706.0
170,FIRE COMMUNICATIONS OPERATOR II,OEMC,90202.68
171,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,23628.8
172,POLICE OFFICER,POLICE,75372.0
173,POLICE OFFICER,POLICE,80724.0
174,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,63456.0
175,POLICE OFFICER,POLICE,83706.0
176,POLICE OFFICER,POLICE,83706.0
177,FIRE ENGINEER-EMT,FIRE,91740.0
178,SERGEANT,POLICE,105864.0
179,ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,115224.0
180,POLICE OFFICER,POLICE,80724.0
181,INQUIRY AIDE III,STREETS & SAN,50280.0
182,COORDINATING ENGINEER I,WATER MGMNT,103740.0
183,POLICE OFFICER,POLICE,75372.0
184,POLICE OFFICER,POLICE,86130.0
185,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
186,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
187,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,93930.0
188,POLICE OFFICER,POLICE,78012.0
189,BRIDGE OPERATOR,TRANSPORTN,54876.0
190,SERGEANT,POLICE,105864.0
191,POLICE OFFICER,POLICE,78012.0
192,SANITATION LABORER,STREETS & SAN,70969.6
193,SANITATION LABORER,STREETS & SAN,70969.6
194,POLICE OFFICER,POLICE,61530.0
195,POLICE OFFICER,POLICE,43104.0
196,FIREFIGHTER,FIRE,50490.0
197,FIREFIGHTER-EMT,FIRE,79140.0
198,ASST CORPORATION COUNSEL SUPVSR,LAW,106416.0
199,DISTRICT SUPVSR - GRAFFITI REMOVAL SERVICES,STREETS & SAN,86352.0
200,SANITATION LABORER,STREETS & SAN,70969.6
201,ANIMAL CARE AIDE I,ANIMAL CONTRL,60600.0
202,COORD OF SPECIAL PROJECTS,HEALTH,84780.0
203,SANITATION CLERK,STREETS & SAN,66024.0
204,PARAMEDIC,FIRE,65016.0
205,SANITATION LABORER,STREETS & SAN,70969.6
206,FIREFIGHTER,FIRE,83982.0
207,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
208,EDITORIAL ASST,CITY CLERK,55212.0
209,SERGEANT,POLICE,99444.0
210,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,49236.0
211,POLICE OFFICER,POLICE,78012.0
212,POLICE OFFICER,POLICE,75372.0
213,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,63552.0
214,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
215,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
216,SERGEANT,POLICE,109278.0
217,POLICE OFFICER,POLICE,83706.0
218,POLICE OFFICER,POLICE,86130.0
219,SANITATION LABORER,STREETS & SAN,70969.6
220,STREET LIGHT REPAIR WORKER,TRANSPORTN,93288.0
221,POLICE OFFICER,POLICE,78012.0
222,POLICE OFFICER,POLICE,43104.0
223,POLICE OFFICER,POLICE,65016.0
224,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
225,POLICE OFFICER,POLICE,80724.0
226,POLICE OFFICER,POLICE,86130.0
227,POLICE OFFICER,POLICE,86130.0
228,POLICE OFFICER,POLICE,75372.0
229,SANITATION LABORER,STREETS & SAN,70969.6
230,POLICE OFFICER,POLICE,78012.0
231,POLICE OFFICER,POLICE,71748.0
232,ADMINISTRATIVE SERVICES OFFICER II,TRANSPORTN,88812.0
233,POLICE OFFICER,POLICE,71748.0
234,CUSTODIAL WORKER,AVIATION,34008.0
235,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
236,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,87918.0
237,POLICE OFFICER,POLICE,75372.0
238,POLICE OFFICER,POLICE,75372.0
239,LINEMAN,TRANSPORTN,93288.0
240,POLICE OFFICER,POLICE,83706.0
241,PROGRAMMER/ANALYST,BUSINESS AFFAIRS,83640.0
242,LIBRARIAN I,PUBLIC LIBRARY,69300.0
243,POLICE OFFICER,POLICE,80724.0
244,FIRE ENGINEER-EMT,FIRE,88632.0
245,ALDERMANIC AIDE,CITY COUNCIL,23400.0
246,FIREFIGHTER,FIRE,80724.0
247,POLICE OFFICER,POLICE,80724.0
248,FIREFIGHTER,FIRE,75372.0
249,FIREFIGHTER,FIRE,50490.0
250,FIREFIGHTER-EMT,FIRE,81906.0
251,POLICE OFFICER,POLICE,75372.0
252,LABORER,AVIATION,65249.6
253,ASST CORPORATION COUNSEL,LAW,61980.0
254,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
255,SR CERTIFICATION / COMPLIANCE OFFICER,PROCUREMENT,63480.0
256,CHIEF PROGRAMMER/ANALYST,WATER MGMNT,110352.0
257,PARKING ENFORCEMENT AIDE,FINANCE,50400.0
258,DEPUTY COMMISSIONER,AVIATION,120444.0
259,CRIMINAL HISTORY ANALYST,POLICE,76428.0
260,SENIOR RESEARCH ANALYST,COMMUNITY DEVELOPMENT,76524.0
261,DATA ENTRY OPERATOR,TRANSPORTN,41784.0
262,INTELLIGENCE ANALYST,OEMC,52008.0
263,LEGISLATIVE AIDE,CITY COUNCIL,44004.0
264,POLICE OFFICER,POLICE,78012.0
265,LIEUTENANT-EMT,FIRE,108132.0
266,PERSONAL COMPUTER OPERATOR I,POLICE,45828.0
267,PUBLIC HEALTH NURSE IV,HEALTH,101076.0
268,MEDICAL X-RAY TECHNOLOGIST,HEALTH,57828.0
269,POLICE OFFICER,POLICE,80724.0
270,POLICE OFFICER,POLICE,78012.0
271,POLICE OFFICER,POLICE,43104.0
272,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
273,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
274,DIR OF PUBLIC INFORMATION,BUDGET & MGMT,82500.0
275,PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION,67872.0
276,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,87918.0
277,EXECUTIVE SECRETARY I,LAW,47904.0
278,FIREFIGHTER-EMT,FIRE,81906.0
279,POLICE OFFICER,POLICE,83706.0
280,ASST CITY TREASURER,TREASURER,85020.0
281,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,96262.4
282,POLICE OFFICER,POLICE,75372.0
283,LAW CLERK,LAW,25152.4
284,POLICE OFFICER,POLICE,86130.0
285,POLICE OFFICER,POLICE,78012.0
286,SANITATION LABORER,STREETS & SAN,70969.6
287,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
288,POLICE OFFICER,POLICE,75372.0
289,POLICE OFFICER,POLICE,75372.0
290,POLICE COMMUNICATIONS OPERATOR I,OEMC,66552.0
291,POLICE OFFICER,POLICE,80724.0
292,POLICE OFFICER,POLICE,65016.0
293,POLICE OFFICER,POLICE,75372.0
294,POLICE OFFICER,POLICE,80724.0
295,POLICE OFFICER,POLICE,80724.0
296,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,72936.0
297,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
298,WATER CHEMIST IV,WATER MGMNT,91224.0
299,FIREFIGHTER,FIRE,75372.0
300,ACCOUNTANT II,FINANCE,76524.0
301,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
302,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
303,POLICE OFFICER,POLICE,83706.0
304,POLICE OFFICER,POLICE,78012.0
305,POLICE OFFICER,POLICE,61530.0
306,POLICE OFFICER,POLICE,78012.0
307,POLICE OFFICER,POLICE,78012.0
308,CUSTODIAL WORKER,AVIATION,41537.6
309,ADMINISTRATIVE ASST III,FIRE,60600.0
310,PUBLIC HEALTH NURSE I,HEALTH,87372.0
311,LOAN PROCESSING SPECIALIST,COMMUNITY DEVELOPMENT,76428.0
312,POLICE OFFICER,POLICE,75372.0
313,FIREFIGHTER,FIRE,50490.0
314,PUBLIC HEALTH NUTRITIONIST III,HEALTH,67308.0
315,POLICE OFFICER,POLICE,83706.0
316,FIREFIGHTER-EMT,FIRE,81906.0
317,COORDINATING FIRE COMMUNICATIONS OPERATOR,OEMC,112008.0
318,FIELD PAYROLL AUDITOR,FIRE,79512.0
319,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
320,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,78000.0
321,POLICE OFFICER,POLICE,61530.0
322,SANITATION LABORER,STREETS & SAN,62608.0
323,REVENUE INVESTIGATOR II,BUSINESS AFFAIRS,79992.0
324,FIREFIGHTER,FIRE,83982.0
325,EQUIPMENT DISPATCHER,GENERAL SERVICES,71635.2
326,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
327,POLICE OFFICER / FLD TRNG OFFICER,POLICE,79170.0
328,FIRE ENGINEER-EMT,FIRE,91740.0
329,DEPUTY COMMISSIONER,DISABILITIES,96768.0
330,POLICE OFFICER,POLICE,78012.0
331,CONSTRUCTION LABORER,WATER MGMNT,76960.0
332,SANITATION LABORER,STREETS & SAN,70969.6
333,POLICE COMMUNICATIONS OPERATOR I,OEMC,60648.0
334,CROSSING GUARD,POLICE,16525.6
335,ACCOUNTING TECHNICIAN III,HEALTH,76428.0
336,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
337,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
338,LAW CLERK,LAW,25152.4
339,POLICE OFFICER,POLICE,75372.0
340,POLICE OFFICER,POLICE,75372.0
341,PUBLIC HEALTH NURSE II,HEALTH,91692.0
342,POLICE OFFICER,POLICE,80724.0
343,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,23628.8
344,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,93288.0
345,POLICE OFFICER,POLICE,75372.0
346,POLICE OFFICER,POLICE,78012.0
347,LABORER - APPRENTICE,WATER MGMNT,69264.0
348,POLICE OFFICER,POLICE,86130.0
349,SERGEANT,POLICE,99444.0
350,DEPUTY CITY TREASURER,TREASURER,113898.0
351,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
352,POLICE OFFICER,POLICE,83706.0
353,WATCHMAN,WATER MGMNT,43097.6
354,SANITATION LABORER,STREETS & SAN,70969.6
355,FIREFIGHTER,FIRE,80724.0
356,POLICE OFFICER,POLICE,78012.0
357,POLICE OFFICER,POLICE,61530.0
358,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
359,POLICE OFFICER,POLICE,43104.0
360,POLICE OFFICER,POLICE,80724.0
361,FIREFIGHTER-EMT,FIRE,79140.0
362,PLUMBER,WATER MGMNT,95784.0
363,PROPERTY CUSTODIAN,POLICE,63456.0
364,AIRPORT FACILITIES MANAGER,AVIATION,69684.0
365,POLICE OFFICER,POLICE,78012.0
366,POLICE OFFICER,POLICE,78012.0
367,FIREFIGHTER,FIRE,50490.0
368,POLICE OFFICER,POLICE,75372.0
369,SERGEANT,POLICE,105864.0
370,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
371,CROSSING GUARD,POLICE,21912.8
372,LABORER,TRANSPORTN,76960.0
373,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
374,DEPUTY CHIEF,POLICE,162012.0
375,POLICE OFFICER,POLICE,75372.0
376,POLICE OFFICER,POLICE,80724.0
377,CROSSING GUARD,POLICE,18148.0
378,DETENTION AIDE,POLICE,63552.0
379,AMBULANCE COMMANDER,FIRE,112206.0
380,POLICE OFFICER,POLICE,80724.0
381,POLICE OFFICER,POLICE,83706.0
382,POLICE OFFICER,POLICE,78012.0
383,CROSSING GUARD,POLICE,17316.0
384,SANITATION LABORER,STREETS & SAN,70969.6
385,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
386,CAPTAIN,POLICE,125790.0
387,PARKING ENFORCEMENT AIDE,FINANCE,45924.0
388,TRAFFIC ENFORCEMENT TECH,FINANCE,29120.0
389,CROSSING GUARD,POLICE,19895.2
390,POLICE OFFICER,POLICE,75372.0
391,FIELD SERVICE SPECIALIST III,TRANSPORTN,83220.0
392,ASST DISTRICT SUPERINTENDENT,WATER MGMNT,102024.0
393,SANITATION LABORER,STREETS & SAN,63876.8
394,TESTING ADMINISTRATOR,HUMAN RESOURCES,62964.0
395,POLICE OFFICER,POLICE,80724.0
396,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,52980.0
397,POLICE OFFICER,POLICE,43104.0
398,POLICE OFFICER,POLICE,80724.0
399,POLICE OFFICER,POLICE,75372.0
400,POLICE OFFICER,POLICE,78012.0
401,AVIATION SECURITY OFFICER,AVIATION,76452.0
402,SUPERVISING VIDEOGRAPHER,BUSINESS AFFAIRS,73752.0
403,HOISTING ENGINEER,WATER MGMNT,95888.0
404,HOISTING ENGINEER,WATER MGMNT,95888.0
405,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
406,CROSSING GUARD,POLICE,17316.0
407,SANITATION CLERK,STREETS & SAN,60156.0
408,EXECUTIVE DIR OF ANIMAL CARE AND CONTROL,ANIMAL CONTRL,138420.0
409,POLICE OFFICER,POLICE,78012.0
410,FIREFIGHTER-EMT,FIRE,81906.0
411,POLICE OFFICER,POLICE,78012.0
412,POLICE OFFICER,POLICE,75372.0
413,PROJECT MANAGER - BUILDINGS,BUILDINGS,99648.0
414,FILTRATION ENGINEER IV,WATER MGMNT,99648.0
415,CROSSING GUARD,POLICE,17316.0
416,CONSTRUCTION LABORER,WATER MGMNT,76960.0
417,POLICE OFFICER,POLICE,80724.0
418,OPERATING ENGINEER-GROUP A,AVIATION,96262.4
419,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
420,LABORER,AVIATION,65249.6
421,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,60600.0
422,SANITATION LABORER,STREETS & SAN,70969.6
423,POLICE OFFICER,POLICE,75372.0
424,MANAGER OF POLICE PAYROLLS,POLICE,97728.0
425,POLICE OFFICER,POLICE,75372.0
426,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
427,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,96262.4
428,POLICE OFFICER,POLICE,80724.0
429,CONSTRUCTION LABORER,WATER MGMNT,76960.0
430,POLICE CADET,POLICE,9360.0
431,SENIOR TELECOMMUNICATIONS SPECIALIST,DoIT,76428.0
432,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,54288.0
433,FIRE ENGINEER-EMT,FIRE,97836.0
434,CEMENT FINISHER,TRANSPORTN,92248.0
435,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
436,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
437,FIRE ENGINEER-EMT,FIRE,95076.0
438,PARAMEDIC,FIRE,78012.0
439,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
440,FIREFIGHTER,FIRE,83982.0
441,CLERK IV,POLICE,57828.0
442,EXPLOSIVES TECHNICIAN I,POLICE,96648.0
443,STUDENT INTERN,CULTURAL AFFAIRS,18200.0
444,PAYMENT SERVICES REPRESENTATIVE,FINANCE,57828.0
445,DISABILITY SPECIALIST II,DISABILITIES,76524.0
446,FIRE ENGINEER-EMT,FIRE,91740.0
447,SERGEANT,POLICE,105864.0
448,FIREFIGHTER,FIRE,83982.0
449,POLICE OFFICER,POLICE,78012.0
450,POLICE OFFICER,POLICE,80724.0
451,POLICE OFFICER,POLICE,83706.0
452,FIREFIGHTER-EMT,FIRE,84762.0
453,POLICE AGENT,POLICE,87918.0
454,DIR OF PERSONNEL POLICIES AND UTILIZATION,GENERAL SERVICES,89364.0
455,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
456,CROSSING GUARD,POLICE,17316.0
457,ACCOUNTANT I,TREASURER,69300.0
458,POLICE OFFICER,POLICE,83706.0
459,POLICE OFFICER,POLICE,83706.0
460,POLICE OFFICER,POLICE,80724.0
461,POLICE OFFICER,POLICE,78012.0
462,SERGEANT,POLICE,105864.0
463,POLICE COMMUNICATIONS OPERATOR I,OEMC,66552.0
464,STAFF ASST,FINANCE,71796.0
465,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
466,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
467,POLICE OFFICER,POLICE,83706.0
468,ACCOUNTANT IV,FINANCE,86532.0
469,POLICE OFFICER,POLICE,86130.0
470,CROSSING GUARD - PER AGREEMENT,POLICE,20436.0
471,CROSSING GUARD,POLICE,21912.8
472,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,87918.0
473,SANITATION LABORER,STREETS & SAN,70969.6
474,PARAMEDIC I/C,FIRE,81672.0
475,CROSSING GUARD,POLICE,17316.0
476,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,23628.8
477,BRIDGE OPERATOR,TRANSPORTN,63048.0
478,POLICE OFFICER,POLICE,78012.0
479,POLICE OFFICER,POLICE,83706.0
480,POLICE OFFICER,POLICE,78012.0
481,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
482,MACHINIST,WATER MGMNT,91353.6
483,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
484,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
485,CIVIL ENGINEER III,WATER MGMNT,91224.0
486,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
487,LABORER,AVIATION,65249.6
488,ADMINISTRATIVE ASST II,BUILDINGS,60600.0
489,POLICE OFFICER,POLICE,75372.0
490,FOREMAN OF CONSTRUCTION LABORERS,TRANSPORTN,79248.0
491,SANITATION LABORER,STREETS & SAN,70969.6
492,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,66552.0
493,SANITATION LABORER,STREETS & SAN,70969.6
494,DEPUTY DISTRICT CHIEF,FIRE,148914.0
495,POLICE OFFICER / FLD TRNG OFFICER,POLICE,87918.0
496,ADMINISTRATIVE ASST III,PUBLIC LIBRARY,69648.0
497,GENERAL LABORER - DSS,STREETS & SAN,41849.6
498,SANITATION LABORER,STREETS & SAN,70969.6
499,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
500,FIRE ENGINEER-EMT,FIRE,91740.0
501,ASST TO THE ALDERMAN,CITY COUNCIL,72540.0
