Date,coal,natural gas,solar energy
2008-09-14 - 2008-09-20,35,35,14
2008-09-21 - 2008-09-27,36,36,14
2008-09-28 - 2008-10-04,40,34,14
2008-10-05 - 2008-10-11,38,33,14
2008-10-12 - 2008-10-18,38,33,15
2008-10-19 - 2008-10-25,40,34,15
2008-10-26 - 2008-11-01,39,33,16
2008-11-02 - 2008-11-08,50,30,16
2008-11-09 - 2008-11-15,39,31,16
2008-11-16 - 2008-11-22,39,32,15
2008-11-23 - 2008-11-29,34,27,13
2008-11-30 - 2008-12-06,39,31,14
2008-12-07 - 2008-12-13,41,30,14
2008-12-14 - 2008-12-20,34,27,12
2008-12-21 - 2008-12-27,29,19,7
2008-12-28 - 2009-01-03,30,24,8
2009-01-04 - 2009-01-10,35,29,13
2009-01-11 - 2009-01-17,35,32,13
2009-01-18 - 2009-01-24,32,28,13
2009-01-25 - 2009-01-31,35,30,13
2009-02-01 - 2009-02-07,34,30,15
2009-02-08 - 2009-02-14,35,27,13
2009-02-15 - 2009-02-21,33,27,16
2009-02-22 - 2009-02-28,37,28,16
2009-03-01 - 2009-03-07,36,30,16
2009-03-08 - 2009-03-14,34,28,15
2009-03-15 - 2009-03-21,32,28,15
2009-03-22 - 2009-03-28,34,29,15
2009-03-29 - 2009-04-04,32,29,16
2009-04-05 - 2009-04-11,30,24,14
2009-04-12 - 2009-04-18,31,27,15
2009-04-19 - 2009-04-25,33,27,17
2009-04-26 - 2009-05-02,32,28,17
2009-05-03 - 2009-05-09,34,30,16
2009-05-10 - 2009-05-16,32,28,17
2009-05-17 - 2009-05-23,31,28,15
2009-05-24 - 2009-05-30,30,29,15
2009-05-31 - 2009-06-06,28,29,15
2009-06-07 - 2009-06-13,29,28,14
2009-06-14 - 2009-06-20,28,29,11
2009-06-21 - 2009-06-27,26,24,10
2009-06-28 - 2009-07-04,25,27,10
2009-07-05 - 2009-07-11,26,27,11
2009-07-12 - 2009-07-18,27,28,11
2009-07-19 - 2009-07-25,29,26,11
2009-07-26 - 2009-08-01,28,27,11
2009-08-02 - 2009-08-08,28,26,11
2009-08-09 - 2009-08-15,29,26,11
2009-08-16 - 2009-08-22,30,31,11
2009-08-23 - 2009-08-29,31,32,11
2009-08-30 - 2009-09-05,29,34,11
2009-09-06 - 2009-09-12,28,30,12
2009-09-13 - 2009-09-19,31,33,12
2009-09-20 - 2009-09-26,30,31,12
2009-09-27 - 2009-10-03,31,31,12
2009-10-04 - 2009-10-10,35,31,13
2009-10-11 - 2009-10-17,34,31,13
2009-10-18 - 2009-10-24,32,31,14
2009-10-25 - 2009-10-31,32,30,13
2009-11-01 - 2009-11-07,34,30,15
2009-11-08 - 2009-11-14,33,30,14
2009-11-15 - 2009-11-21,33,30,15
2009-11-22 - 2009-11-28,32,28,11
2009-11-29 - 2009-12-05,34,32,14
2009-12-06 - 2009-12-12,35,30,13
2009-12-13 - 2009-12-19,33,30,11
2009-12-20 - 2009-12-26,28,23,8
2009-12-27 - 2010-01-02,23,25,8
2010-01-03 - 2010-01-09,32,30,12
2010-01-10 - 2010-01-16,32,30,14
2010-01-17 - 2010-01-23,31,28,13
2010-01-24 - 2010-01-30,31,29,13
2010-01-31 - 2010-02-06,34,29,13
2010-02-07 - 2010-02-13,32,28,12
2010-02-14 - 2010-02-20,32,27,12
2010-02-21 - 2010-02-27,31,29,13
2010-02-28 - 2010-03-06,33,29,14
2010-03-07 - 2010-03-13,32,29,14
2010-03-14 - 2010-03-20,31,28,13
2010-03-21 - 2010-03-27,31,28,14
2010-03-28 - 2010-04-03,30,27,12
2010-04-04 - 2010-04-10,51,28,13
2010-04-11 - 2010-04-17,37,28,14
2010-04-18 - 2010-04-24,35,28,16
2010-04-25 - 2010-05-01,34,27,15
2010-05-02 - 2010-05-08,32,27,15
2010-05-09 - 2010-05-15,31,27,14
2010-05-16 - 2010-05-22,30,26,13
2010-05-23 - 2010-05-29,30,26,13
2010-05-30 - 2010-06-05,28,26,12
2010-06-06 - 2010-06-12,27,28,12
2010-06-13 - 2010-06-19,27,26,12
2010-06-20 - 2010-06-26,26,25,11
2010-06-27 - 2010-07-03,26,25,10
2010-07-04 - 2010-07-10,27,22,10
2010-07-11 - 2010-07-17,30,22,10
2010-07-18 - 2010-07-24,29,21,11
2010-07-25 - 2010-07-31,29,23,10
2010-08-01 - 2010-08-07,29,22,10
2010-08-08 - 2010-08-14,29,21,11
2010-08-15 - 2010-08-21,31,22,10
2010-08-22 - 2010-08-28,30,23,10
2010-08-29 - 2010-09-04,29,23,10
2010-09-05 - 2010-09-11,31,24,10
2010-09-12 - 2010-09-18,31,25,11
2010-09-19 - 2010-09-25,31,24,11
2010-09-26 - 2010-10-02,30,26,11
2010-10-03 - 2010-10-09,33,26,12
2010-10-10 - 2010-10-16,43,26,12
2010-10-17 - 2010-10-23,54,26,12
2010-10-24 - 2010-10-30,41,27,12
2010-10-31 - 2010-11-06,47,28,11
2010-11-07 - 2010-11-13,40,28,12
2010-11-14 - 2010-11-20,40,29,12
2010-11-21 - 2010-11-27,42,25,10
2010-11-28 - 2010-12-04,40,28,11
2010-12-05 - 2010-12-11,37,25,11
2010-12-12 - 2010-12-18,34,26,9
2010-12-19 - 2010-12-25,32,20,7
2010-12-26 - 2011-01-01,27,23,6
2011-01-02 - 2011-01-08,33,25,10
2011-01-09 - 2011-01-15,34,27,11
2011-01-16 - 2011-01-22,34,26,11
2011-01-23 - 2011-01-29,32,27,11
2011-01-30 - 2011-02-05,34,29,11
2011-02-06 - 2011-02-12,32,28,12
2011-02-13 - 2011-02-19,32,26,11
2011-02-20 - 2011-02-26,30,27,11
2011-02-27 - 2011-03-05,33,28,12
2011-03-06 - 2011-03-12,33,27,12
2011-03-13 - 2011-03-19,34,28,12
2011-03-20 - 2011-03-26,33,28,13
2011-03-27 - 2011-04-02,37,29,14
2011-04-03 - 2011-04-09,37,27,13
2011-04-10 - 2011-04-16,36,27,13
2011-04-17 - 2011-04-23,34,24,12
2011-04-24 - 2011-04-30,33,27,13
2011-05-01 - 2011-05-07,32,26,12
2011-05-08 - 2011-05-14,43,26,13
2011-05-15 - 2011-05-21,39,26,13
2011-05-22 - 2011-05-28,38,24,12
2011-05-29 - 2011-06-04,39,25,11
2011-06-05 - 2011-06-11,33,25,11
2011-06-12 - 2011-06-18,32,23,11
2011-06-19 - 2011-06-25,32,22,10
2011-06-26 - 2011-07-02,30,23,9
2011-07-03 - 2011-07-09,30,22,9
2011-07-10 - 2011-07-16,33,22,10
2011-07-17 - 2011-07-23,36,22,10
2011-07-24 - 2011-07-30,33,22,9
2011-07-31 - 2011-08-06,33,23,9
2011-08-07 - 2011-08-13,31,21,9
2011-08-14 - 2011-08-20,32,21,9
2011-08-21 - 2011-08-27,32,22,9
2011-08-28 - 2011-09-03,30,25,9
2011-09-04 - 2011-09-10,32,22,9
2011-09-11 - 2011-09-17,34,23,10
2011-09-18 - 2011-09-24,35,24,11
2011-09-25 - 2011-10-01,34,24,10
2011-10-02 - 2011-10-08,31,25,10
2011-10-09 - 2011-10-15,33,23,11
2011-10-16 - 2011-10-22,35,26,11
2011-10-23 - 2011-10-29,33,25,10
2011-10-30 - 2011-11-05,34,26,11
2011-11-06 - 2011-11-12,34,27,11
2011-11-13 - 2011-11-19,34,27,12
2011-11-20 - 2011-11-26,32,23,10
2011-11-27 - 2011-12-03,34,27,12
2011-12-04 - 2011-12-10,35,24,11
2011-12-11 - 2011-12-17,35,24,10
2011-12-18 - 2011-12-24,34,21,7
2011-12-25 - 2011-12-31,30,20,6
2012-01-01 - 2012-01-07,30,23,8
2012-01-08 - 2012-01-14,31,26,10
2012-01-15 - 2012-01-21,32,30,10
2012-01-22 - 2012-01-28,31,29,11
2012-01-29 - 2012-02-04,34,29,11
2012-02-05 - 2012-02-11,32,29,11
2012-02-12 - 2012-02-18,33,28,11
2012-02-19 - 2012-02-25,33,28,11
2012-02-26 - 2012-03-03,33,29,12
2012-03-04 - 2012-03-10,31,30,12
2012-03-11 - 2012-03-17,30,28,11
2012-03-18 - 2012-03-24,33,26,11
2012-03-25 - 2012-03-31,31,28,12
2012-04-01 - 2012-04-07,29,24,9
2012-04-08 - 2012-04-14,30,30,10
2012-04-15 - 2012-04-21,31,30,11
2012-04-22 - 2012-04-28,31,29,11
2012-04-29 - 2012-05-05,32,28,11
2012-05-06 - 2012-05-12,31,28,11
2012-05-13 - 2012-05-19,37,28,11
2012-05-20 - 2012-05-26,40,26,11
2012-05-27 - 2012-06-02,39,26,10
2012-06-03 - 2012-06-09,37,25,9
2012-06-10 - 2012-06-16,33,24,8
2012-06-17 - 2012-06-23,30,23,9
2012-06-24 - 2012-06-30,29,23,8
2012-07-01 - 2012-07-07,30,23,8
2012-07-08 - 2012-07-14,36,23,9
2012-07-15 - 2012-07-21,34,22,8
2012-07-22 - 2012-07-28,30,23,8
2012-07-29 - 2012-08-04,29,22,7
2012-08-05 - 2012-08-11,30,23,8
2012-08-12 - 2012-08-18,32,22,8
2012-08-19 - 2012-08-25,34,22,8
2012-08-26 - 2012-09-01,35,23,8
2012-09-02 - 2012-09-08,35,22,9
2012-09-09 - 2012-09-15,36,23,9
2012-09-16 - 2012-09-22,35,24,10
2012-09-23 - 2012-09-29,34,25,10
2012-09-30 - 2012-10-06,36,26,9
2012-10-07 - 2012-10-13,34,25,10
2012-10-14 - 2012-10-20,36,25,11
2012-10-21 - 2012-10-27,34,26,10
2012-10-28 - 2012-11-03,33,31,10
2012-11-04 - 2012-11-10,36,32,10
2012-11-11 - 2012-11-17,31,29,10
2012-11-18 - 2012-11-24,30,24,9
2012-11-25 - 2012-12-01,32,28,10
2012-12-02 - 2012-12-08,34,25,10
2012-12-09 - 2012-12-15,34,26,10
2012-12-16 - 2012-12-22,29,22,7
2012-12-23 - 2012-12-29,25,18,5
2012-12-30 - 2013-01-05,25,22,6
2013-01-06 - 2013-01-12,28,25,8
2013-01-13 - 2013-01-19,31,25,9
2013-01-20 - 2013-01-26,33,25,9
2013-01-27 - 2013-02-02,32,25,9
2013-02-03 - 2013-02-09,33,24,10
2013-02-10 - 2013-02-16,32,24,9
2013-02-17 - 2013-02-23,30,25,9
2013-02-24 - 2013-03-02,31,25,10
2013-03-03 - 2013-03-09,32,26,10
2013-03-10 - 2013-03-16,31,25,10
2013-03-17 - 2013-03-23,30,25,10
2013-03-24 - 2013-03-30,29,23,9
2013-03-31 - 2013-04-06,28,25,9
2013-04-07 - 2013-04-13,31,25,10
2013-04-14 - 2013-04-20,31,25,10
2013-04-21 - 2013-04-27,29,25,10
2013-04-28 - 2013-05-04,31,25,10
2013-05-05 - 2013-05-11,29,25,10
2013-05-12 - 2013-05-18,29,24,10
2013-05-19 - 2013-05-25,27,23,10
2013-05-26 - 2013-06-01,28,23,8
2013-06-02 - 2013-06-08,27,24,8
2013-06-09 - 2013-06-15,27,22,7
2013-06-16 - 2013-06-22,26,22,7
2013-06-23 - 2013-06-29,27,22,7
2013-06-30 - 2013-07-06,26,21,7
2013-07-07 - 2013-07-13,28,21,6
2013-07-14 - 2013-07-20,26,21,7
2013-07-21 - 2013-07-27,26,21,7
2013-07-28 - 2013-08-03,25,23,6
2013-08-04 - 2013-08-10,26,21,7
2013-08-11 - 2013-08-17,26,20,7
2013-08-18 - 2013-08-24,27,21,7
2013-08-25 - 2013-08-31,26,22,7
2013-09-01 - 2013-09-07,26,22,7
2013-09-08 - 2013-09-14,28,22,8
2013-09-15 - 2013-09-21,29,22,8
2013-09-22 - 2013-09-28,27,23,9
2013-09-29 - 2013-10-05,27,23,9
2013-10-06 - 2013-10-12,28,23,9
2013-10-13 - 2013-10-19,29,23,9
2013-10-20 - 2013-10-26,29,25,9
2013-10-27 - 2013-11-02,29,23,8
2013-11-03 - 2013-11-09,31,26,9
2013-11-10 - 2013-11-16,31,26,9
2013-11-17 - 2013-11-23,35,26,10
2013-11-24 - 2013-11-30,29,24,8
2013-12-01 - 2013-12-07,31,25,9
2013-12-08 - 2013-12-14,32,24,9
2013-12-15 - 2013-12-21,30,23,8
2013-12-22 - 2013-12-28,27,17,4
2013-12-29 - 2014-01-04,25,21,6
2014-01-05 - 2014-01-11,29,25,8
2014-01-12 - 2014-01-18,30,24,9
2014-01-19 - 2014-01-25,29,27,8
2014-01-26 - 2014-02-01,29,31,8
2014-02-02 - 2014-02-08,29,28,9
2014-02-09 - 2014-02-15,30,26,9
2014-02-16 - 2014-02-22,31,27,9
2014-02-23 - 2014-03-01,32,27,10
2014-03-02 - 2014-03-08,32,27,10
2014-03-09 - 2014-03-15,31,25,9
2014-03-16 - 2014-03-22,31,25,9
2014-03-23 - 2014-03-29,31,26,10
2014-03-30 - 2014-04-05,30,26,9
2014-04-06 - 2014-04-12,30,24,9
2014-04-13 - 2014-04-19,30,21,9
2014-04-20 - 2014-04-26,28,23,10
2014-04-27 - 2014-05-03,27,24,11
2014-05-04 - 2014-05-10,29,24,11
2014-05-11 - 2014-05-17,32,23,10
2014-05-18 - 2014-05-24,30,23,10
2014-05-25 - 2014-05-31,27,23,9
2014-06-01 - 2014-06-07,30,22,9
2014-06-08 - 2014-06-14,27,22,8
2014-06-15 - 2014-06-21,27,21,8
2014-06-22 - 2014-06-28,26,20,7
2014-06-29 - 2014-07-05,25,20,7
2014-07-06 - 2014-07-12,29,21,7
2014-07-13 - 2014-07-19,28,21,7
2014-07-20 - 2014-07-26,27,20,7
2014-07-27 - 2014-08-02,27,21,7
2014-08-03 - 2014-08-09,26,21,7
2014-08-10 - 2014-08-16,26,20,7
2014-08-17 - 2014-08-23,28,20,8
2014-08-24 - 2014-08-30, , , 
2014-08-31 - 2014-09-06, , , 
,,,
,,,
Top regions for coal,,,
Region,coal,natural gas,solar energy
Australia,100,13,85
Mongolia,100,0,0
South Africa,98,5,67
Botswana,90,0,0
India,76,13,88
Nigeria,70,18,69
Zimbabwe,54,0,0
United States,45,46,49
United Kingdom,44,7,30
Canada,38,35,37
New Zealand,38,7,31
Singapore,37,11,45
Mozambique,36,65,0
Saint Helena,36,0,0
Zambia,34,0,0
Ireland,30,7,22
Hong Kong,29,7,28
Pakistan,28,12,77
Indonesia,24,2,5
Philippines,20,5,44
Ghana,20,9,56
Tanzania,18,13,42
Bangladesh,16,9,41
Kenya,16,5,57
Jamaica,16,0,100
Mauritius,16,0,66
Ethiopia,16,0,79
Sri Lanka,14,0,23
United Arab Emirates,14,10,46
Trinidad and Tobago,13,30,66
South Korea,12,4,18
Malaysia,12,6,25
Malta,11,0,51
Oman,10,12,48
Qatar,10,15,32
Czech Republic,9,2,6
Luxembourg,9,0,0
Norway,8,4,9
Estonia,8,0,0
China,8,2,11
Lebanon,8,0,41
Cyprus,8,9,31
Switzerland,7,3,10
Latvia,7,0,0
Kuwait,7,5,21
Denmark,6,2,8
Netherlands,6,3,9
Sweden,6,2,6
Belgium,5,2,7
Puerto Rico,5,9,24
Finland,5,2,5
Bolivia,5,44,0
Colombia,5,47,3
Thailand,5,2,6
Slovenia,5,0,7
Greece,4,3,14
Germany,4,2,9
Taiwan,4,1,11
Portugal,4,15,8
Bulgaria,4,2,5
Chile,4,11,4
Poland,4,1,2
Serbia,4,0,5
Lithuania,4,0,8
Bosnia and Herzegovina,4,0,0
Iran,4,5,12
Slovakia,4,1,0
Austria,3,1,7
Israel,3,3,10
Croatia,3,0,5
Jordan,3,0,21
Hungary,3,1,4
Costa Rica,3,5,0
Italy,3,6,6
Spain,3,100,6
Russia,3,1,2
Ukraine,3,1,2
Kazakhstan,3,0,0
France,3,1,3
Romania,3,1,6
Egypt,3,4,16
Saudi Arabia,2,2,10
Mexico,2,23,4
Argentina,2,28,2
Japan,2,1,2
Vietnam,2,0,3
Brazil,2,7,2
Turkey,2,1,4
Venezuela,2,20,0
Peru,2,23,0
Morocco,1,0,7
Dominican Republic,0,27,0
Algeria,0,0,6
Ecuador,0,7,0
Guatemala,0,4,0
Nepal,0,0,58
Panama,0,23,0
Uganda,0,0,69
Uruguay,0,8,0
,,,
Top regions for natural gas,,,
Region,coal,natural gas,solar energy
Spain,3,100,6
Mozambique,36,65,0
Colombia,5,47,3
United States,45,46,49
Bolivia,5,44,0
Canada,38,35,37
Trinidad and Tobago,13,30,66
Argentina,2,28,2
Dominican Republic,0,27,0
Mexico,2,23,4
Peru,2,23,0
Panama,0,23,0
Venezuela,2,20,0
Nigeria,70,18,69
Portugal,4,15,8
Qatar,10,15,32
Australia,100,13,85
India,76,13,88
Tanzania,18,13,42
Oman,10,12,48
Pakistan,28,12,77
Chile,4,11,4
Singapore,37,11,45
United Arab Emirates,14,10,46
Cyprus,8,9,31
Bangladesh,16,9,41
Puerto Rico,5,9,24
Ghana,20,9,56
Uruguay,0,8,0
Brazil,2,7,2
Hong Kong,29,7,28
Ecuador,0,7,0
United Kingdom,44,7,30
Ireland,30,7,22
New Zealand,38,7,31
Malaysia,12,6,25
Italy,3,6,6
South Africa,98,5,67
Kenya,16,5,57
Iran,4,5,12
Philippines,20,5,44
Kuwait,7,5,21
Costa Rica,3,5,0
Guatemala,0,4,0
South Korea,12,4,18
Norway,8,4,9
Egypt,3,4,16
Greece,4,3,14
Israel,3,3,10
Switzerland,7,3,10
Netherlands,6,3,9
Czech Republic,9,2,6
Belgium,5,2,7
Saudi Arabia,2,2,10
Indonesia,24,2,5
Germany,4,2,9
Bulgaria,4,2,5
Denmark,6,2,8
Sweden,6,2,6
China,8,2,11
Thailand,5,2,6
Finland,5,2,5
Austria,3,1,7
Hungary,3,1,4
Slovakia,4,1,0
Taiwan,4,1,11
